epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.78	2.44	17.186||	26.2
1	0:0	0.1	2.28	2.12	30.844||	35.03
2	0:0	0.1	2.02	1.94	38.592||	40.75
3	0:0	0.1	1.87	1.81	43.152||	44.12
4	0:0	0.1	1.77	1.75	45.818||	46.96
5	0:0	0.1	1.68	1.72	48.394||	46.59
6	0:0	0.1	1.64	1.66	49.528||	48.11
7	0:0	0.1	1.58	1.7	51.33||	47.17
8	0:0	0.1	1.55	1.59	52.294||	50.83
9	0:0	0.1	1.52	1.6	53.192||	50.54
10	0:0	0.1	1.49	1.57	54.138||	51.11
11	0:0	0.1	1.47	1.57	54.936||	51.63
12	0:0	0.1	1.45	1.53	55.264||	53.13
13	0:0	0.1	1.42	1.53	55.896||	52.16
14	0:0	0.1	1.41	1.46	56.544||	55.35
15	0:0	0.1	1.39	1.47	57.01||	55.23
16	0:0	0.1	1.39	1.46	56.996||	55.43
17	0:0	0.1	1.37	1.54	57.458||	52.62
18	0:0	0.1	1.38	1.49	57.166||	53.15
19	0:0	0.1	1.36	1.45	57.744||	54.94
20	0:0	0.1	1.35	1.48	58.286||	54.3
21	0:0	0.1	1.35	1.5	58.212||	52.9
22	0:0	0.1	1.35	1.49	58.344||	53.41
23	0:0	0.1	1.34	1.45	58.734||	55.21
24	0:0	0.1	1.33	1.5	58.788||	53.88
25	0:0	0.1	1.32	1.48	59.034||	54.3
26	0:0	0.1	1.32	1.51	58.95||	53.87
27	0:0	0.1	1.31	1.48	59.804||	54.28
28	0:0	0.1	1.31	1.41	59.696||	57.18
29	0:0	0.1	1.3	1.42	59.242||	56.14
30	0:0	0.1	1.31	1.47	59.688||	54.8
31	0:0	0.1	1.3	1.41	59.514||	56.42
32	0:0	0.1	1.29	1.45	59.852||	55.68
33	0:0	0.1	1.29	1.47	59.916||	54.38
34	0:0	0.1	1.3	1.49	59.886||	53.54
35	0:0	0.1	1.28	1.4	60.392||	57.33
36	0:0	0.1	1.28	1.43	60.56||	55.6
37	0:0	0.1	1.28	1.46	60.338||	55.09
38	0:0	0.1	1.28	1.48	60.69||	54.6
39	0:0	0.1	1.27	1.49	60.662||	53.79
40	0:0	0.01	1.16	1.29	64.338||	60.51
41	0:0	0.01	1.08	1.26	66.59||	61.25
42	0:0	0.01	1.05	1.25	67.276||	61.32
43	0:0	0.01	1.04	1.24	67.652||	62.03
44	0:0	0.01	1.04	1.24	67.858||	62.02
45	0:0	0.01	1.01	1.21	68.694||	63.35
46	0:0	0.01	1.01	1.22	68.766||	62.55
47	0:0	0.01	0.982	1.23	69.476||	62.14
48	0:0	0.01	0.988	1.2	69.09||	63.0
49	0:0	0.01	0.979	1.21	69.69||	62.91
50	0:0	0.01	0.977	1.19	69.418||	63.61
51	0:0	0.01	0.974	1.18	69.772||	63.46
52	0:0	0.01	0.967	1.17	70.204||	63.63
53	0:0	0.01	0.964	1.19	70.114||	63.04
54	0:0	0.01	0.956	1.17	70.372||	63.67
55	0:0	0.01	0.956	1.17	70.366||	64.02
56	0:0	0.01	0.939	1.18	70.856||	63.6
57	0:0	0.01	0.938	1.18	70.706||	63.8
58	0:0	0.01	0.924	1.16	71.262||	63.95
59	0:0	0.01	0.926	1.16	71.022||	64.26
60	0:0	0.01	0.931	1.17	71.206||	63.86
61	0:0	0.01	0.927	1.18	71.228||	63.83
62	0:0	0.01	0.925	1.16	71.418||	64.35
63	0:0	0.01	0.926	1.15	71.194||	64.65
64	0:0	0.01	0.913	1.17	71.73||	64.2
65	0:0	0.01	0.92	1.15	71.534||	64.58
66	0:0	0.01	0.917	1.14	71.502||	64.77
67	0:0	0.01	0.901	1.14	71.768||	65.1
68	0:0	0.01	0.907	1.15	71.678||	64.55
69	0:0	0.01	0.915	1.15	71.398||	64.91
70	0:0	0.01	0.903	1.14	71.874||	64.67
71	0:0	0.01	0.898	1.13	72.214||	65.18
72	0:0	0.01	0.905	1.14	71.828||	65.29
73	0:0	0.01	0.903	1.14	72.198||	64.6
74	0:0	0.01	0.894	1.15	72.2||	65.39
75	0:0	0.01	0.898	1.13	72.248||	65.35
76	0:0	0.01	0.899	1.14	72.034||	65.1
77	0:0	0.01	0.899	1.14	72.142||	64.8
78	0:0	0.01	0.899	1.13	72.112||	65.24
79	0:0	0.01	0.886	1.13	72.674||	64.93
80	0:0	0.001	0.886	1.13	72.524||	65.33
81	0:0	0.001	0.879	1.12	72.434||	66.02
82	0:0	0.001	0.878	1.13	72.802||	65.17
83	0:0	0.001	0.883	1.12	72.542||	65.49
84	0:0	0.001	0.87	1.12	73.13||	65.55
85	0:0	0.001	0.879	1.12	72.854||	66.04
86	0:0	0.001	0.871	1.12	72.898||	65.73
87	0:0	0.001	0.865	1.11	73.362||	66.23
88	0:0	0.001	0.86	1.12	73.534||	65.28
89	0:0	0.001	0.873	1.1	73.0||	65.68
