epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.1	1.88	21.630859375||	30.0236407566296
1	0:0	0.1	1.81	1.9	37.890625||	35.224586383107145
2	0:0	0.1	1.75	1.78	40.91796875||	38.061465811222156
3	0:0	0.1	1.7	1.65	42.08984375||	41.843971649242064
4	0:0	0.1	1.66	1.82	45.166015625||	38.77068566937819
5	0:0	0.1	1.68	1.87	43.701171875||	37.58865257696057
6	0:0	0.1	1.71	1.66	44.43359375||	46.33569741756358
7	0:0	0.01	1.51	1.56	48.92578125||	45.39007094002221
8	0:0	0.01	1.37	1.59	53.759765625||	46.80851072847984
9	0:0	0.01	1.33	1.56	55.078125||	46.57210414516729
10	0:0	0.01	1.28	1.51	56.34765625||	46.808510692407054
11	0:0	0.01	1.26	1.47	57.958984375||	47.99054378933377
12	0:0	0.01	1.19	1.48	60.25390625||	47.517730794054394
13	0:0	0.01	1.16	1.56	61.42578125||	48.226950616137636
14	0:0	0.001	1.17	1.43	59.912109375||	50.11820353514759
15	0:0	0.001	1.13	1.45	62.744140625||	51.77304966342646
16	0:0	0.001	1.11	1.39	62.353515625||	50.35460991104162
17	0:0	0.001	1.17	1.49	60.302734375||	48.46335727159577
18	0:0	0.001	1.12	1.41	61.865234375||	51.30023666814709
19	0:0	0.001	1.11	1.4	62.060546875||	51.77304973557204
20	0:0	0.001	1.14	1.48	60.15625||	50.11820360729317
21	0:0	0.0001	1.11	1.42	62.59765625||	50.82742322195788
22	0:0	0.0001	1.1	1.49	62.939453125||	50.354609947114405
23	0:0	0.0001	1.19	1.49	60.7421875||	50.11820329165628
24	0:0	0.0001	1.13	1.44	61.9140625||	52.48226976507381
